data,label,teks_stemmed
warung dimiliki pengusaha pabrik puluhan terkenal putih bandung berkualitas dipadu keahlian memasak dipadu kretivitas warung menyajikan menu utama berbahan ditambah menu ayam selera indonesia harga terjangkau lewatkan bletoka kalah asli tegal,positive,warung milik usaha pabrik puluh kenal putih bandung kualitas padu ahli masak padu kretivitas warung saji menu utama bahan tambah menu ayam selera indonesia harga jangkau lewat bletoka kalah asli tegal
mohon ulama lurus k mmbri hujjah partai diwlh suara islam pecah pecah,neutral,mohon ulama lurus k mmbri hujjah partai diwlh suara islam pecah pecah
lokasi strategis jalan sumatera bandung nyaman sofa lantai paella enak dimakan minum dingin appetiser enak enak,positive,lokasi strategis jalan sumatera bandung nyaman sofa lantai paella enak makan minum dingin appetiser enak enak
betapa bahagia unboxing paket barang bagus menetapkan beli,positive,betapa bahagia unboxing paket barang bagus tetap beli
mahasiswa sombong kasih kartu kuning belajar usahlah politik selesai kuliah politik telat dasar mahasiswa,negative,mahasiswa sombong kasih kartu kuning ajar usah politik selesai kuliah politik telat dasar mahasiswa
makanan beragam harga makanan food stall kasir suasana ramai perhatian parkir duduk,positive,makan agam harga makan food stall kasir suasana ramai perhati parkir duduk
pakai kartu kredit untung rugi,negative,pakai kartu kredit untung rugi
unik bagus foto makanan enak pegawai ramah bersih luas wifi kencang harga standar sesuai menu masakan makanan barat indonesia menu favorit lychee mojito spagheti,positive,unik bagus foto makan enak pegawai ramah bersih luas wifi kencang harga standar sesuai menu masakan makan barat indonesia menu favorit lychee mojito spagheti
keluarga menikmati pengalaman kuliner menyenangkan sari sunda jalan setiabudhi bandung hubungan sari sunda jalan setiabudhi tuliskan maaf rekan rekan pembaca bingung suka restoran pelayanan restoran terbilang cepat,positive,keluarga nikmat alam kuliner senang sari sunda jalan setiabudhi bandung hubung sari sunda jalan setiabudhi tulis maaf rekan rekan baca bingung suka restoran layan restoran bilang cepat
bersyukur,positive,syukur
simcard indosat inaktiv gara gara lupa pulsa kabar aktif pinda pasca bayar ribet banget,negative,simcard indosat inaktiv gara gara lupa pulsa kabar aktif pinda pasca bayar ribet banget
sifat muncul orang orang tujuan hidup,negative,sifat muncul orang orang tuju hidup
menceritakan pengalaman pesan steak grilled beef disajikanlah steak potongan buruk kualitas daging enggan memesan menu beef khusus sirloin lemak ukuran steak menu menu menempel lidah sarankan membeli menu berlabel cheese lanjutan,positive,cerita alam pesan steak grilled beef saji steak potong buruk kualitas daging enggan mes menu beef khusus sirloin lemak ukur steak menu menu tempel lidah saran beli menu label cheese lanjut
pengalaman indosat semoga pelanggan marah marah pelayanan pelanggan indosat,negative,alam indosat moga langgan marah marah layan langgan indosat
anak sulit dinasehati,negative,anak sulit nasehat
mengatasi kayak gini anies sandi becus pasukan kebersihan,negative,atas kayak gin anies sandi becus pasu bersih
bumn dibentuk dibentuk,neutral,bumn bentuk bentuk
sehabis puas bermain trans studio bandung teman sepakat makan ayam kakek ayam enak gurih,positive,habis puas main trans studio bandung teman sepakat makan ayam kakek ayam enak gurih
bakso cuanki batagor ramai pengunjung buka pagi jalan riau jalan yani sisi kiri jalan jalan anggrek harga porsi datanglah ramai pengunjung,positive,bakso cuanki batagor ramai unjung buka pagi jalan riau jalan yani sisi kiri jalan jalan anggrek harga porsi datang ramai unjung
sgwr dampak positif hobi anak anak,positive,sgwr dampak positif hobi anak anak
lembang pemandangan indah udara sejuk penataan resto bagus dilengkapi makanan nikmat pilihan menu beragam minuman lengkap lingkungan cocok makan berdua pasangan membawa keluarga teman lapangan parkir luas restoran berkonsep terbuka udara lembang sejuk,positive,lembang pandang indah udara sejuk tata resto bagus lengkap makan nikmat pilih menu agam minum lengkap lingkung cocok makan dua pasang bawa keluarga teman lapang parkir luas restoran konsep buka udara lembang sejuk
