data,label,word_token
warung dimiliki pengusaha pabrik puluhan terkenal putih bandung berkualitas dipadu keahlian memasak dipadu kretivitas warung menyajikan menu utama berbahan ditambah menu ayam selera indonesia harga terjangkau lewatkan bletoka kalah asli tegal,1,"['warung', 'dimiliki', 'pengusaha', 'pabrik', 'puluhan', 'terkenal', 'putih', 'bandung', 'berkualitas', 'dipadu', 'keahlian', 'memasak', 'dipadu', 'kretivitas', 'warung', 'menyajikan', 'menu', 'utama', 'berbahan', 'ditambah', 'menu', 'ayam', 'selera', 'indonesia', 'harga', 'terjangkau', 'lewatkan', 'bletoka', 'kalah', 'asli', 'tegal']"
mohon ulama lurus k mmbri hujjah partai diwlh suara islam pecah pecah,0,"['mohon', 'ulama', 'lurus', 'k', 'mmbri', 'hujjah', 'partai', 'diwlh', 'suara', 'islam', 'pecah', 'pecah']"
lokasi strategis jalan sumatera bandung nyaman sofa lantai paella enak dimakan minum dingin appetiser enak enak,1,"['lokasi', 'strategis', 'jalan', 'sumatera', 'bandung', 'nyaman', 'sofa', 'lantai', 'paella', 'enak', 'dimakan', 'minum', 'dingin', 'appetiser', 'enak', 'enak']"
betapa bahagia unboxing paket barang bagus menetapkan beli,1,"['betapa', 'bahagia', 'unboxing', 'paket', 'barang', 'bagus', 'menetapkan', 'beli']"
mahasiswa sombong kasih kartu kuning belajar usahlah politik selesai kuliah politik telat dasar mahasiswa,-1,"['mahasiswa', 'sombong', 'kasih', 'kartu', 'kuning', 'belajar', 'usahlah', 'politik', 'selesai', 'kuliah', 'politik', 'telat', 'dasar', 'mahasiswa']"
makanan beragam harga makanan food stall kasir suasana ramai perhatian parkir duduk,1,"['makanan', 'beragam', 'harga', 'makanan', 'food', 'stall', 'kasir', 'suasana', 'ramai', 'perhatian', 'parkir', 'duduk']"
pakai kartu kredit untung rugi,-1,"['pakai', 'kartu', 'kredit', 'untung', 'rugi']"
unik bagus foto makanan enak pegawai ramah bersih luas wifi kencang harga standar sesuai menu masakan makanan barat indonesia menu favorit lychee mojito spagheti,1,"['unik', 'bagus', 'foto', 'makanan', 'enak', 'pegawai', 'ramah', 'bersih', 'luas', 'wifi', 'kencang', 'harga', 'standar', 'sesuai', 'menu', 'masakan', 'makanan', 'barat', 'indonesia', 'menu', 'favorit', 'lychee', 'mojito', 'spagheti']"
keluarga menikmati pengalaman kuliner menyenangkan sari sunda jalan setiabudhi bandung hubungan sari sunda jalan setiabudhi tuliskan maaf rekan rekan pembaca bingung suka restoran pelayanan restoran terbilang cepat,1,"['keluarga', 'menikmati', 'pengalaman', 'kuliner', 'menyenangkan', 'sari', 'sunda', 'jalan', 'setiabudhi', 'bandung', 'hubungan', 'sari', 'sunda', 'jalan', 'setiabudhi', 'tuliskan', 'maaf', 'rekan', 'rekan', 'pembaca', 'bingung', 'suka', 'restoran', 'pelayanan', 'restoran', 'terbilang', 'cepat']"
bersyukur,1,['bersyukur']
simcard indosat inaktiv gara gara lupa pulsa kabar aktif pinda pasca bayar ribet banget,-1,"['simcard', 'indosat', 'inaktiv', 'gara', 'gara', 'lupa', 'pulsa', 'kabar', 'aktif', 'pinda', 'pasca', 'bayar', 'ribet', 'banget']"
sifat muncul orang orang tujuan hidup,-1,"['sifat', 'muncul', 'orang', 'orang', 'tujuan', 'hidup']"
menceritakan pengalaman pesan steak grilled beef disajikanlah steak potongan buruk kualitas daging enggan memesan menu beef khusus sirloin lemak ukuran steak menu menu menempel lidah sarankan membeli menu berlabel cheese lanjutan,1,"['menceritakan', 'pengalaman', 'pesan', 'steak', 'grilled', 'beef', 'disajikanlah', 'steak', 'potongan', 'buruk', 'kualitas', 'daging', 'enggan', 'memesan', 'menu', 'beef', 'khusus', 'sirloin', 'lemak', 'ukuran', 'steak', 'menu', 'menu', 'menempel', 'lidah', 'sarankan', 'membeli', 'menu', 'berlabel', 'cheese', 'lanjutan']"
pengalaman indosat semoga pelanggan marah marah pelayanan pelanggan indosat,-1,"['pengalaman', 'indosat', 'semoga', 'pelanggan', 'marah', 'marah', 'pelayanan', 'pelanggan', 'indosat']"
anak sulit dinasehati,-1,"['anak', 'sulit', 'dinasehati']"
mengatasi kayak gini anies sandi becus pasukan kebersihan,-1,"['mengatasi', 'kayak', 'gini', 'anies', 'sandi', 'becus', 'pasukan', 'kebersihan']"
bumn dibentuk dibentuk,0,"['bumn', 'dibentuk', 'dibentuk']"
sehabis puas bermain trans studio bandung teman sepakat makan ayam kakek ayam enak gurih,1,"['sehabis', 'puas', 'bermain', 'trans', 'studio', 'bandung', 'teman', 'sepakat', 'makan', 'ayam', 'kakek', 'ayam', 'enak', 'gurih']"
bakso cuanki batagor ramai pengunjung buka pagi jalan riau jalan yani sisi kiri jalan jalan anggrek harga porsi datanglah ramai pengunjung,1,"['bakso', 'cuanki', 'batagor', 'ramai', 'pengunjung', 'buka', 'pagi', 'jalan', 'riau', 'jalan', 'yani', 'sisi', 'kiri', 'jalan', 'jalan', 'anggrek', 'harga', 'porsi', 'datanglah', 'ramai', 'pengunjung']"
sgwr dampak positif hobi anak anak,1,"['sgwr', 'dampak', 'positif', 'hobi', 'anak', 'anak']"
lembang pemandangan indah udara sejuk penataan resto bagus dilengkapi makanan nikmat pilihan menu beragam minuman lengkap lingkungan cocok makan berdua pasangan membawa keluarga teman lapangan parkir luas restoran berkonsep terbuka udara lembang sejuk,1,"['lembang', 'pemandangan', 'indah', 'udara', 'sejuk', 'penataan', 'resto', 'bagus', 'dilengkapi', 'makanan', 'nikmat', 'pilihan', 'menu', 'beragam', 'minuman', 'lengkap', 'lingkungan', 'cocok', 'makan', 'berdua', 'pasangan', 'membawa', 'keluarga', 'teman', 'lapangan', 'parkir', 'luas', 'restoran', 'berkonsep', 'terbuka', 'udara', 'lembang', 'sejuk']"
berbuka puasa minggu lepas supir mencadangkan makan makanan sedap harga berpatutan luas cantik rekomendasi others dine here authentic sunda makanan indonesia,1,"['berbuka', 'puasa', 'minggu', 'lepas', 'supir', 'mencadangkan', 'makan', 'makanan', 'sedap', 'harga', 'berpatutan', 'luas', 'cantik', 'rekomendasi', 'others', 'dine', 'here', 'authentic', 'sunda', 'makanan', 'indonesia']"
hahaha suka banget nonton kartun indonesia keluarga tomat,1,"['hahaha', 'suka', 'banget', 'nonton', 'kartun', 'indonesia', 'keluarga', 'tomat']"
teman teman berkunjung bandung mampir kopi anjis makan makanan berat cilok rakyat ditemankan sereh lekker,1,"['teman', 'teman', 'berkunjung', 'bandung', 'mampir', 'kopi', 'anjis', 'makan', 'makanan', 'berat', 'cilok', 'rakyat', 'ditemankan', 'sereh', 'lekker']"
restoran keluarga makan malam bandung orang murah meriah makan double double makanan enak suasana kafe menarik pelayanan bagus petunjuk toilet restoran pergi momen ribut hahahaha setimpal,1,"['restoran', 'keluarga', 'makan', 'malam', 'bandung', 'orang', 'murah', 'meriah', 'makan', 'double', 'double', 'makanan', 'enak', 'suasana', 'kafe', 'menarik', 'pelayanan', 'bagus', 'petunjuk', 'toilet', 'restoran', 'pergi', 'momen', 'ribut', 'hahahaha', 'setimpal']"
alhamdulillah jalan bugel kesal melulu sempit arah macet makanan sehari,-1,"['alhamdulillah', 'jalan', 'bugel', 'kesal', 'melulu', 'sempit', 'arah', 'macet', 'makanan', 'sehari']"
respon sayang asli distrobitor,-1,"['respon', 'sayang', 'asli', 'distrobitor']"
lokasi pemandangan alam natural indah suasana sejuk tenang nyamuk harga makanan relatif mahal,1,"['lokasi', 'pemandangan', 'alam', 'natural', 'indah', 'suasana', 'sejuk', 'tenang', 'nyamuk', 'harga', 'makanan', 'relatif', 'mahal']"
pdip ridwan kamil menang berbaju merah,0,"['pdip', 'ridwan', 'kamil', 'menang', 'berbaju', 'merah']"
malu maluin oknum bertanggung,-1,"['malu', 'maluin', 'oknum', 'bertanggung']"
makan siang asyik nuansa bali music musik sunda kadang musik khas bali bergantian enak adem sayang pesan kopi banget berkali kali kopi kopi panas kopi ciri khas kopi khas kopi dingin enak,-1,"['makan', 'siang', 'asyik', 'nuansa', 'bali', 'music', 'musik', 'sunda', 'kadang', 'musik', 'khas', 'bali', 'bergantian', 'enak', 'adem', 'sayang', 'pesan', 'kopi', 'banget', 'berkali', 'kali', 'kopi', 'kopi', 'panas', 'kopi', 'ciri', 'khas', 'kopi', 'khas', 'kopi', 'dingin', 'enak']"
steak bandung zaman setiabudi buka cabang riau riau parkiran sulit setiabudi lokasi kuliner jalan riau porsi harga ukuran steak zoom smoking nyaman,1,"['steak', 'bandung', 'zaman', 'setiabudi', 'buka', 'cabang', 'riau', 'riau', 'parkiran', 'sulit', 'setiabudi', 'lokasi', 'kuliner', 'jalan', 'riau', 'porsi', 'harga', 'ukuran', 'steak', 'zoom', 'smoking', 'nyaman']"
kedatangan presiden rombongan gate terminal disambut menteri perhubungan menteri bumn gubernur banten dirjen perkeretaapian kemhub dirut dirut dirut railink,0,"['kedatangan', 'presiden', 'rombongan', 'gate', 'terminal', 'disambut', 'menteri', 'perhubungan', 'menteri', 'bumn', 'gubernur', 'banten', 'dirjen', 'perkeretaapian', 'kemhub', 'dirut', 'dirut', 'dirut', 'railink']"
makanan tradisional stabil garang asam java steak lupa dicoba hidangan penutup enak lemper soes gulung enak enak makanan,1,"['makanan', 'tradisional', 'stabil', 'garang', 'asam', 'java', 'steak', 'lupa', 'dicoba', 'hidangan', 'penutup', 'enak', 'lemper', 'soes', 'gulung', 'enak', 'enak', 'makanan']"
batagor terenak kota bandung dibandingkan batagor coba bumbu kacang lidah batagor amis silakan mencoba coba,1,"['batagor', 'terenak', 'kota', 'bandung', 'dibandingkan', 'batagor', 'coba', 'bumbu', 'kacang', 'lidah', 'batagor', 'amis', 'silakan', 'mencoba', 'coba']"
aroma khas makan daun pisang ramai favourit bandung,1,"['aroma', 'khas', 'makan', 'daun', 'pisang', 'ramai', 'favourit', 'bandung']"
keluarga berjalan daerah lembang sengaja mampir makan resto suasana nyaman pelayanan ramah puas makanan sajikan standar makanan restoran berbeda sambal stroberi yummy bikin ketagihan makan memetik lanjutan,1,"['keluarga', 'berjalan', 'daerah', 'lembang', 'sengaja', 'mampir', 'makan', 'resto', 'suasana', 'nyaman', 'pelayanan', 'ramah', 'puas', 'makanan', 'sajikan', 'standar', 'makanan', 'restoran', 'berbeda', 'sambal', 'stroberi', 'yummy', 'bikin', 'ketagihan', 'makan', 'memetik', 'lanjutan']"
risma menjatuhkan pilihan ipul puti pilgub jatim,0,"['risma', 'menjatuhkan', 'pilihan', 'ipul', 'puti', 'pilgub', 'jatim']"
pengalaman seru makan alas piring alas daun nikmat makanan sunda bervariatif enak tips terbawa emosi kalap memesan memilih makanan disediakan kalap makanan pilih,1,"['pengalaman', 'seru', 'makan', 'alas', 'piring', 'alas', 'daun', 'nikmat', 'makanan', 'sunda', 'bervariatif', 'enak', 'tips', 'terbawa', 'emosi', 'kalap', 'memesan', 'memilih', 'makanan', 'disediakan', 'kalap', 'makanan', 'pilih']"
makanan enak suasana nyaman harga dibilang restoran konsep terkenal menu jepang enak,1,"['makanan', 'enak', 'suasana', 'nyaman', 'harga', 'dibilang', 'restoran', 'konsep', 'terkenal', 'menu', 'jepang', 'enak']"
kampung daun makan menyatukan konsep alam budaya daerah kompleks perumahan luas saung makan kapasitas kualitas makanan enak suara riak terjun suasana nyaman makan,1,"['kampung', 'daun', 'makan', 'menyatukan', 'konsep', 'alam', 'budaya', 'daerah', 'kompleks', 'perumahan', 'luas', 'saung', 'makan', 'kapasitas', 'kualitas', 'makanan', 'enak', 'suara', 'riak', 'terjun', 'suasana', 'nyaman', 'makan']"
pesan nasi goreng kentang goreng nasi goreng suka kentang goreng enak banget presentasi bagus keluarga bilang kopi enak luas lihat pemandangan dusun bambu pelayanan cepat kali pesanan harga mahal makanan enak terbayarkan pikir kali,1,"['pesan', 'nasi', 'goreng', 'kentang', 'goreng', 'nasi', 'goreng', 'suka', 'kentang', 'goreng', 'enak', 'banget', 'presentasi', 'bagus', 'keluarga', 'bilang', 'kopi', 'enak', 'luas', 'lihat', 'pemandangan', 'dusun', 'bambu', 'pelayanan', 'cepat', 'kali', 'pesanan', 'harga', 'mahal', 'makanan', 'enak', 'terbayarkan', 'pikir', 'kali']"
makan sunda bertebaran kota bandung jatuh hati warung makan imas alun alun kota bandung menyuguhkan rumah makan sunda karakter warung nasi zaman mengambil hidangan proses order jumpai warung makan,1,"['makan', 'sunda', 'bertebaran', 'kota', 'bandung', 'jatuh', 'hati', 'warung', 'makan', 'imas', 'alun', 'alun', 'kota', 'bandung', 'menyuguhkan', 'rumah', 'makan', 'sunda', 'karakter', 'warung', 'nasi', 'zaman', 'mengambil', 'hidangan', 'proses', 'order', 'jumpai', 'warung', 'makan']"
tolong bantu input resi kenomor resi dipakai,0,"['tolong', 'bantu', 'input', 'resi', 'kenomor', 'resi', 'dipakai']"
foods menu cheeseburger banget chicken wings pizza juara dirilis mixing green yakult perfect satunya kekurangan pizza pinggiran,1,"['foods', 'menu', 'cheeseburger', 'banget', 'chicken', 'wings', 'pizza', 'juara', 'dirilis', 'mixing', 'green', 'yakult', 'perfect', 'satunya', 'kekurangan', 'pizza', 'pinggiran']"
dusun bambu tergolong bandung banget almamater gampang cari pemandangan bagus makan enak enak beli pakai voucher,1,"['dusun', 'bambu', 'tergolong', 'bandung', 'banget', 'almamater', 'gampang', 'cari', 'pemandangan', 'bagus', 'makan', 'enak', 'enak', 'beli', 'pakai', 'voucher']"
memuaskan,-1,['memuaskan']
suruh ngaca pemain dasar oneng ngomong betawi kampungan,-1,"['suruh', 'ngaca', 'pemain', 'dasar', 'oneng', 'ngomong', 'betawi', 'kampungan']"
kafe menyajikan sensasi makan gelap unik orang jarang menarik mencoba,-1,"['kafe', 'menyajikan', 'sensasi', 'makan', 'gelap', 'unik', 'orang', 'jarang', 'menarik', 'mencoba']"
sesuai nama awie kedai makan menyediakan menu olahan daging babi pilihan nasi goreng babi capjay goreng bakso pangsit mencoba menu babi casau special enak banget,1,"['sesuai', 'nama', 'awie', 'kedai', 'makan', 'menyediakan', 'menu', 'olahan', 'daging', 'babi', 'pilihan', 'nasi', 'goreng', 'babi', 'capjay', 'goreng', 'bakso', 'pangsit', 'mencoba', 'menu', 'babi', 'casau', 'special', 'enak', 'banget']"
